
   5 	    16.7660 
   6 	    19.2588 
   7 	    21.8154 
   8 	    24.3153 
   9 	    26.8073 
  10 	    29.3951 
  11 	    31.8318 
  12 	    34.3951 
  13 	    36.8555 
  14 	    39.3714 
  15 	    41.8717 
  16 	    44.3875 
  17 	    46.9593 
  18 	    49.4198 
  19 	    51.9526 
  20 	    54.5163 
  21 	    56.9605 
  22 	    59.4449 
  23 	    61.9852 
  24 	    64.5094 
  25 	    66.9302 
  26 	    69.5116 
  27 	    72.0740 
  28 	    74.5591 
  29 	    77.0347 
  30 	    79.5820 
  31 	    82.0027 
  32 	    84.6387 
  33 	    87.0351 
  34 	    89.6234 
  35 	    92.0841 
