
   5 	    55.6802 
   6 	    58.2667 
   7 	    60.6938 
   8 	    63.2240 
   9 	    65.8177 
  10 	    68.3081 
  11 	    70.7908 
  12 	    73.3600 
  13 	    75.8350 
  14 	    78.3021 
  15 	    80.8895 
  16 	    83.3648 
  17 	    85.9201 
  18 	    88.3961 
  19 	    90.8960 
  20 	    93.4755 
  21 	    95.9745 
  22 	    98.4263 
  23 	   100.9656 
  24 	   103.5208 
  25 	   106.0361 
  26 	   108.5757 
  27 	   111.0515 
  28 	   113.5843 
  29 	   116.0750 
  30 	   118.5431 
  31 	   121.1066 
  32 	   123.5506 
  33 	   126.1701 
  34 	   128.5896 
  35 	   131.1449 
  36 	   133.7162 
  37 	   136.1760 
  38 	   138.7477 
  39 	   141.2391 
