
   5 	    15.7005 
   6 	    18.1515 
   7 	    20.7373 
   8 	    23.1881 
   9 	    25.6944 
  10 	    28.3601 
  11 	    30.7467 
  12 	    33.1821 
  13 	    35.7060 
  14 	    38.3385 
  15 	    40.7421 
  16 	    43.2729 
  17 	    45.9732 
  18 	    48.2859 
  19 	    50.6571 
  20 	    53.3790 
  21 	    55.8373 
  22 	    58.3838 
  23 	    60.8499 
  24 	    63.3800 
  25 	    65.8703 
  26 	    68.3214 
  27 	    70.9008 
  28 	    73.4635 
  29 	    76.0257 
  30 	    78.4519 
  31 	    80.9818 
  32 	    83.5445 
