   1 	    57.8832 
   2 	    60.3820 
   3 	    62.9846 
   4 	    65.4359 
   5 	    68.0627 
   6 	    70.5613 
   7 	    73.0603 
   8 	    75.4954 
   9 	    78.0343 
  10 	    80.5338 
  11 	    83.0567 
  12 	    85.5161 
  13 	    88.1589 
  14 	    90.5866 
  15 	    93.0224 
  16 	    95.5933 
  17 	    98.0526 
  18 	   100.5920 
  19 	   103.1229 
  20 	   105.6449 
  21 	   108.1195 
  22 	   110.6335 
  23 	   113.0920 
  24 	   115.6543 
  25 	   118.1679 
  26 	   120.7219 
  27 	   123.1561 
  28 	   125.6146 
  29 	   128.1531 
  30 	   130.6355 
  31 	   133.2452 
  32 	   135.7275 
  33 	   138.1780 
  34 	   140.7954 
  35 	   143.2298 
